tmdbId,tmdb_status,tmdb_title,original_title,director,tmdb_genres,release_date,runtime,original_language,tmdb_rating,tmdb_vote_count,popularity,overview
862,ok,Toy Story,Toy Story,John Lasseter,Family | Comedy | Animation | Adventure,1995-11-22,81.0,en,8.0,20304.0,41.0572,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences."
15602,ok,Grumpier Old Men,Grumpier Old Men,Howard Deutch,Romance | Comedy,1995-12-22,101.0,en,6.466,436.0,5.9315,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max."
949,ok,Heat,Heat,Michael Mann,Crime | Drama | Action,1995-12-15,170.0,en,7.941,8555.0,23.158,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.
807,ok,Se7en,Se7en,David Fincher,Crime | Mystery | Thriller,1995-09-22,127.0,en,8.38,23515.0,33.8713,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case."
629,ok,The Usual Suspects,The Usual Suspects,Bryan Singer,Drama | Crime | Thriller,1995-07-19,106.0,en,8.165,11603.0,21.1306,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."
755,ok,From Dusk Till Dawn,From Dusk Till Dawn,Robert Rodriguez,Horror | Action | Crime,1996-01-19,108.0,en,7.047,6614.0,11.9842,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious clientele."
13685,ok,Bottle Rocket,Bottle Rocket,Wes Anderson,Comedy | Crime | Drama,1996-02-21,91.0,en,6.698,1219.0,6.0763,"Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a harebrained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry."
197,ok,Braveheart,Braveheart,Mel Gibson,Action | Drama | History | War,1995-05-24,178.0,en,7.944,11302.0,18.5026,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule."
11780,ok,Rob Roy,Rob Roy,Michael Caton-Jones,Adventure | History | Drama | Action | War,1995-04-13,139.0,en,6.723,721.0,4.4796,"In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen, Rob is forced into a Robin Hood lifestyle to defend his family and honour."
1775,ok,Canadian Bacon,Canadian Bacon,Michael Moore,Comedy,1995-06-08,91.0,en,5.76,260.0,2.9695,"The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war with Canada."
8068,ok,Desperado,Desperado,Robert Rodriguez,Thriller | Action | Crime,1995-08-25,104.0,en,6.931,3197.0,8.362,"El Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his friend and a beautiful bookstore owner, El Mariachi tracks Bucho, takes on his army of desperados, and leaves his own trail of blood."
11017,ok,Billy Madison,Billy Madison,Tamra Davis,Comedy,1995-02-10,90.0,en,6.18,1846.0,4.7801,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire, but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business."
2292,ok,Clerks,Clerks,Kevin Smith,Comedy,1994-10-19,92.0,en,7.373,2820.0,10.7222,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives."
8467,ok,Dumb and Dumber,Dumb and Dumber,Peter Farrelly,Comedy,1994-12-16,107.0,en,6.66,6850.0,19.2633,"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart."
522,ok,Ed Wood,Ed Wood,Tim Burton,Comedy | Drama | History,1994-09-28,127.0,en,7.485,2558.0,5.2725,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful."
11,ok,Star Wars,Star Wars,George Lucas,Adventure | Action | Science Fiction,1977-05-25,121.0,en,8.206,22641.0,36.3355,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.
680,ok,Pulp Fiction,Pulp Fiction,Quentin Tarantino,Thriller | Crime | Comedy,1994-09-10,154.0,en,8.481,30617.0,42.442,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time."
2164,ok,Stargate,Stargate,Roland Emmerich,Action | Adventure | Science Fiction,1994-10-28,121.0,en,7.033,3906.0,10.9631,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra."
11381,ok,Tommy Boy,Tommy Boy,Peter Segal,Comedy,1995-03-31,98.0,en,6.797,1079.0,4.8557,"To save the family business, two ne’er-do-well traveling salesmen hit the road with disastrously funny consequences."
9331,ok,Clear and Present Danger,Clear and Present Danger,Phillip Noyce,Action | Drama | Thriller,1994-08-03,141.0,en,6.649,1719.0,8.6253,"Agent Jack Ryan becomes acting Deputy Director of Intelligence for the CIA when Admiral Greer is diagnosed with cancer. When an American businessman, and friend of the president, is murdered on his yacht, Ryan starts discovering links between the man and drug dealers. As former CIA agent John Clark is sent to Colombia to kill drug cartel kingpins in retaliation, Ryan must fight through multiple cover-ups to figure out what happened and who's responsible."
13,ok,Forrest Gump,Forrest Gump,Robert Zemeckis,Comedy | Drama | Romance,1994-06-23,142.0,en,8.5,30185.0,35.5787,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him."
10714,ok,The Jungle Book,The Jungle Book,Stephen Sommers,Family | Adventure | Drama,1994-12-23,111.0,en,6.001,515.0,6.3581,"Raised by wild animals since childhood, Mowgli is drawn away from the jungle by the beautiful Kitty. But Mowgli must eventually face corrupt Capt. Boone, who wants both Kitty's hand and the treasures of Monkey City – a place only Mowgli can find."
854,ok,The Mask,The Mask,Chuck Russell,Comedy | Fantasy | Crime | Romance,1994-07-29,101.0,en,6.996,11472.0,16.1032,"Timid bank clerk Stanley Ipkiss discovers a magical mask infused with the spirit of the Norse god Loki. Donning it transforms him into an unrestrained, green-faced, cartoon-like wild man. While the mask grants him the confidence to woo a local singer, it also makes him the target of a ruthless mobster."
178,ok,Blown Away,Blown Away,Stephen Hopkins,Action,1994-07-01,121.0,en,6.21,635.0,4.7239,"Blown Away tells the story of Jimmy Dove, who works for the Boston bomb squad. Shortly after Dove leaves the force, his partner is killed by a bomb that Dove thinks might have been made by someone he knows."
9571,ok,Dazed and Confused,Dazed and Confused,Richard Linklater,Comedy | Drama,1993-09-24,102.0,en,7.308,2317.0,7.4411,"The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge."
5503,ok,The Fugitive,The Fugitive,Andrew Davis,Action | Thriller | Drama,1993-08-06,131.0,en,7.487,4889.0,13.6859,"Wrongfully convicted of murdering his wife and sentenced to death, Richard Kimble escapes from the law in an attempt to find the real killer and clear his name."
329,ok,Jurassic Park,Jurassic Park,Steven Spielberg,Adventure | Science Fiction,1993-06-11,127.0,en,7.976,18172.0,15.777,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape."
788,ok,Mrs. Doubtfire,Mrs. Doubtfire,Chris Columbus,Comedy | Drama | Family,1993-11-24,125.0,en,7.198,6727.0,13.5261,"Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as a British nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start."
424,ok,Schindler's List,Schindler's List,Steven Spielberg,Drama | History | War,1993-12-15,195.0,en,8.57,17728.0,35.6237,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.
10442,ok,So I Married an Axe Murderer,So I Married an Axe Murderer,Thomas Schlamme,Comedy | Crime | Romance,1993-07-30,93.0,en,6.113,487.0,3.6802,"Just after a bad breakup, Charlie MacKenzie falls for lovely butcher Harriet Michaels and introduces her to his parents. But, as voracious consumers of sensational tabloids, his parents soon come to suspect that Harriet is actually a notorious serial killer -- ""Mrs. X"" -- wanted in connection with a string of bizarre honeymoon killings. Thinking his parents foolish, Charlie proposes to Harriet. But while on his honeymoon with her, he begins to fear they were right."
10057,ok,The Three Musketeers,The Three Musketeers,Stephen Herek,Action | Adventure | Comedy,1993-11-11,105.0,en,6.39,1087.0,7.2031,"D'Artagnan travels to Paris hoping to become a musketeer, one of the French king's elite bodyguards, only to discover that the corps has been disbanded by conniving Cardinal Richelieu, who secretly hopes to usurp the throne. Fortunately, Athos, Porthos and Aramis have refused to lay down their weapons and continue to protect their king. D'Artagnan joins with the rogues to expose Richelieu's plot against the crown."
11969,ok,Tombstone,Tombstone,George P. Cosmatos,Western | Action,1993-12-25,130.0,en,7.586,2510.0,7.7724,"Legendary marshal Wyatt Earp, now a weary gunfighter, joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town."
581,ok,Dances with Wolves,Dances with Wolves,Kevin Costner,Adventure | Drama | Western,1990-11-09,181.0,en,7.843,4771.0,13.2518,"Wounded Civil War soldier John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe."
268,ok,Batman,Batman,Tim Burton,Fantasy | Action | Crime,1989-06-21,126.0,en,7.234,8700.0,14.1174,"Having witnessed his parents' brutal murder as a child, millionaire philanthropist Bruce Wayne fights crime in Gotham City disguised as Batman, a costumed hero who strikes fear into the hearts of villains. But when a deformed madman known as 'The Joker' seizes control of Gotham's criminal underworld, Batman must face his most ruthless nemesis ever while protecting both his identity and his love interest, reporter Vicki Vale."
274,ok,The Silence of the Lambs,The Silence of the Lambs,Jonathan Demme,Crime | Thriller | Drama,1991-02-14,119.0,en,8.344,18286.0,6.7519,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out."
10895,ok,Pinocchio,Pinocchio,Hamilton Luske | Ben Sharpsteen | T. Hee | Wilfred Jackson | Norman Ferguson | Jack Kinney | Bill Roberts,Animation | Family | Fantasy,1940-02-23,88.0,en,7.115,6319.0,12.194,"When the gentle woodcarver Geppetto builds a marionette to be his substitute son, a benevolent fairy brings the toy to life. The puppet, named Pinocchio, is not yet a human boy. He must earn the right to be real by proving that he is brave, truthful, and unselfish."
275,ok,Fargo,Fargo,Joel Coen | Ethan Coen,Crime | Drama | Thriller,1996-03-08,98.0,en,7.85,9242.0,13.186,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!"
954,ok,Mission: Impossible,Mission: Impossible,Brian De Palma,Adventure | Action | Thriller,1996-05-22,111.0,en,7.026,10139.0,19.7074,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the prime suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score."
10539,ok,James and the Giant Peach,James and the Giant Peach,Henry Selick,Family | Animation | Adventure | Fantasy,1996-04-12,79.0,en,6.595,1460.0,6.3806,"When the young orphan boy James spills a magic bag of crocodile tongues, he finds himself in possession of a giant peach that flies him away to strange lands."
2300,ok,Space Jam,Space Jam,Joe Pytka,Family | Animation | Science Fiction | Fantasy | Comedy,1996-11-15,87.0,en,6.805,6499.0,9.068,"With their freedom on the line, the Looney Tunes seek the help of NBA superstar Michael Jordan to win a basketball game against a team of moronic aliens."
9802,ok,The Rock,The Rock,Michael Bay,Action | Adventure | Thriller,1996-06-07,137.0,en,7.152,5290.0,13.3299,"When vengeful General Francis X. Hummel seizes control of Alcatraz Island and threatens to launch missiles loaded with deadly chemical weapons into San Francisco, only a young FBI chemical weapons expert and notorious Federal prisoner have the skills to penetrate the impregnable island fortress and take him down."
664,ok,Twister,Twister,Jan de Bont,Action | Adventure | Drama,1996-05-10,113.0,en,6.568,3937.0,11.4095,"An unprecedented series of violent tornadoes is sweeping across Oklahoma. Tornado chasers, headed by Dr. Jo Harding, attempt to release a groundbreaking device that will allow them to track them and create a more advanced warning system. They are joined by Jo's soon to be ex-husband Bill, a former tornado chaser himself, and his girlfriend Melissa."
602,ok,Independence Day,Independence Day,Roland Emmerich,Action | Adventure | Science Fiction,1996-07-02,145.0,en,6.917,10617.0,18.1131,"Strange phenomena surface around the globe. The skies ignite. Terror races through the world's major cities. As these extraordinary events unfold, it becomes increasingly clear that a force of incredible magnitude has arrived. Its mission: total annihilation over the Fourth of July weekend. The last hope to stop the destruction is an unlikely group of people united by fate and unimaginable circumstances."
11363,ok,She's the One,She's the One,Edward Burns,Romance | Comedy,1996-08-26,96.0,en,5.461,279.0,3.808,"Mickey, a free-spirited New York cabbie, and Francis, a materialistic Wall Street stockbroker, are extremely competitive and confused about women as a result of their father's influence. They disagree on everything, but they have one thing in common: Mickey's ex-fiance Heather is Francis's secret love. Although both brothers are already married, Heather triggers their longtime sibling rivalry."
630,ok,The Wizard of Oz,The Wizard of Oz,Victor Fleming,Adventure | Fantasy | Family,1939-08-21,102.0,en,7.583,6216.0,23.3272,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them."
15,ok,Citizen Kane,Citizen Kane,Orson Welles,Mystery | Drama,1941-04-17,119.0,en,7.966,6152.0,9.9557,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event."
10907,ok,The Adventures of Robin Hood,The Adventures of Robin Hood,Michael Curtiz | William Keighley,Adventure | Romance,1938-05-13,102.0,en,7.472,860.0,5.805,Robin Hood fights nobly for justice against the evil Sir Guy of Gisbourne while striving to win the hand of the beautiful Maid Marian.
22292,ok,The Ghost and Mrs. Muir,The Ghost and Mrs. Muir,Joseph L. Mankiewicz,Romance | Fantasy | Drama,1947-05-25,105.0,en,7.5,361.0,2.5927,"In 1900, young widow Lucy Muir learns that her seaside cottage is haunted and forms a unique relationship with the ghost."
3083,ok,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,Frank Capra,Comedy | Drama,1939-10-19,130.0,en,7.815,1216.0,3.6764,"After the death of a United States Senator, the idealistic Jefferson Smith is appointed as his replacement in Washington. The naive and earnest new senator soon finds himself battling political corruption."
14821,ok,Escape to Witch Mountain,Escape to Witch Mountain,John Hough,Adventure | Fantasy | Science Fiction | Family,1975-03-21,97.0,en,6.4,238.0,3.0175,"Tia and Tony are two orphaned youngsters with extraordinary powers. Lucas Deranian poses as their uncle in order to get the kids into the clutches of Deranian's megalomaniacal boss, evil millionaire Aristotle Bolt, who wants to exploit them. Jason, a cynical widower, helps Tia and Tony escape to witch mountain, while at the same time Tia and Tony help Jason escape the pain of the loss of his wife."
81310,ok,Winnie the Pooh and the Blustery Day,Winnie the Pooh and the Blustery Day,Wolfgang Reitherman,Family | Animation | Music,1968-12-20,25.0,en,7.319,116.0,2.0601,"Winnie the Pooh and his friends experience high winds, heavy rains, and a flood in Hundred Acre Wood."
15947,ok,The Three Caballeros,The Three Caballeros,Norman Ferguson | Jack Kinney | Clyde Geronimi | Bill Roberts | Harold Young,Animation | Family | Music,1944-12-21,71.0,en,6.276,786.0,3.9639,"For Donald's birthday he receives a box with three gifts inside. The gifts, a movie projector, a pop-up book, and a pinata, each take Donald on wild adventures through Mexico and South America."
9078,ok,The Sword in the Stone,The Sword in the Stone,Wolfgang Reitherman,Animation | Family | Fantasy,1963-12-25,79.0,en,7.226,4148.0,8.9484,"Wart is a young boy who aspires to be a knight's squire. On a hunting trip he falls in on Merlin, a powerful but amnesiac wizard who has plans for him beyond mere squiredom. He starts by trying to give him an education, believing that once one has an education, one can go anywhere. Needless to say, it doesn't quite work out that way."
11360,ok,Dumbo,Dumbo,Ben Sharpsteen | Norman Ferguson | Bill Roberts | Jack Kinney | Wilfred Jackson | Samuel Armstrong,Animation | Family,1941-10-31,64.0,en,6.993,5350.0,9.7735,"Dumbo is a baby elephant born with over-sized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy Timothy the Mouse,  the pint-sized pachyderm learns to surmount all obstacles."
11114,ok,Pete's Dragon,Pete's Dragon,Don Chaffey,Fantasy | Animation | Comedy | Family,1977-11-03,128.0,en,6.314,730.0,5.3206,"Pete, a young orphan, runs away to a Maine fishing town with his best friend a lovable, sometimes invisible dragon named Elliott! When they are taken in by a kind lighthouse keeper, Nora, and her father, Elliott's prank playing lands them in big trouble. Then, when crooked salesmen try to capture Elliott for their own gain, Pete must attempt a daring rescue."
12335,ok,Bedknobs and Broomsticks,Bedknobs and Broomsticks,Robert Stevenson,Family | Animation | Fantasy,1971-10-07,117.0,en,7.04,1042.0,4.7256,Three children evacuated from London during World War II are forced to stay with an eccentric spinster. The children's initial fears disappear when they find out she is in fact a trainee witch.
12092,ok,Alice in Wonderland,Alice in Wonderland,Clyde Geronimi | Wilfred Jackson | Hamilton Luske,Animation | Family | Fantasy | Adventure,1951-08-09,75.0,en,7.188,6340.0,13.6227,"On a golden afternoon, wildly curious young Alice tumbles into the burrow and enters the merry, madcap world of Wonderland full of whimsical escapades."
9591,ok,That Thing You Do!,That Thing You Do!,Tom Hanks,Comedy | Drama | Music,1996-10-04,108.0,en,6.883,938.0,6.0086,"A Pennsylvania band scores a hit in 1964 and rides the star-making machinery as long as it can, with lots of help from its manager. But behind the scenes, the group’s sudden fame tests their strength, their maturity and responsibility, and their ability to resist the temptations that money and notoriety always make possible."
10586,ok,The Ghost and the Darkness,The Ghost and the Darkness,Stephen Hopkins,Adventure | Thriller | History,1996-10-11,109.0,en,6.83,1167.0,6.527,"Sir Robert Beaumont is behind schedule on a railroad in Africa. Enlisting noted engineer John Henry Patterson to right the ship, Beaumont expects results. Everything seems great until the crew discovers the mutilated corpse of the project's foreman, seemingly killed by a lion. After several more attacks, Patterson calls in famed hunter Charles Remington, who has finally met his match in the bloodthirsty lions."
10218,ok,Swingers,Swingers,Doug Liman,Comedy | Drama,1996-10-18,96.0,en,6.842,822.0,5.145,"After 6 years together, Mike's girlfriend leaves him, so he travels to LA to be a star. Six months on, he's still not doing very well— so a few of his friends try to reconnect him to the social scene and hopefully help him forget his failed relationship."
252,ok,Willy Wonka & the Chocolate Factory,Willy Wonka & the Chocolate Factory,Mel Stuart,Family | Fantasy | Comedy,1971-06-29,100.0,en,7.482,4018.0,10.4274,"When eccentric candy man Willy Wonka promises a lifetime supply of sweets and a tour of his chocolate factory to five lucky kids, penniless Charlie Bucket seeks the golden ticket that will make him a winner."
583,ok,Life of Brian,Life of Brian,Terry Jones,Comedy,1979-08-17,94.0,en,7.761,5017.0,8.7036,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs."
500,ok,Reservoir Dogs,Reservoir Dogs,Quentin Tarantino,Crime | Thriller,1992-09-02,99.0,en,8.111,15684.0,20.668,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel."
792,ok,Platoon,Platoon,Oliver Stone,Drama | War | Action,1986-12-19,120.0,en,7.749,5204.0,12.235,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man."
402,ok,Basic Instinct,Basic Instinct,Paul Verhoeven,Thriller | Mystery,1992-03-20,128.0,en,6.947,4461.0,17.6813,"Catherine, a novelist with an insatiable sexual appetite, becomes a prime suspect when her boyfriend is brutally murdered -- a crime she had described in her latest story."
601,ok,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,Steven Spielberg,Adventure | Science Fiction | Family,1982-06-11,115.0,en,7.519,12160.0,15.0044,"An alien is left behind on Earth and saved by the 10-year-old Elliott who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliott, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home."
2756,ok,The Abyss,The Abyss,James Cameron,Adventure | Thriller | Science Fiction,1989-08-09,140.0,en,7.357,3526.0,10.5488,"A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it."
762,ok,Monty Python and the Holy Grail,Monty Python and the Holy Grail,Terry Jones | Terry Gilliam,Adventure | Comedy | Fantasy,1975-04-03,91.0,en,7.802,6517.0,10.1621,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place""."
1891,ok,The Empire Strikes Back,The Empire Strikes Back,Irvin Kershner,Adventure | Action | Science Fiction,1980-05-20,124.0,en,8.392,18668.0,20.6299,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair."
2493,ok,The Princess Bride,The Princess Bride,Rob Reiner,Adventure | Fantasy | Romance | Family,1987-09-25,99.0,en,7.705,5213.0,17.028,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing."
85,ok,Raiders of the Lost Ark,Raiders of the Lost Ark,Steven Spielberg,Adventure | Action,1981-06-12,115.0,en,7.926,13840.0,19.6861,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime."
185,ok,A Clockwork Orange,A Clockwork Orange,Stanley Kubrick,Science Fiction | Crime,1971-10-28,137.0,en,8.173,14005.0,18.0619,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?"
28,ok,Apocalypse Now,Apocalypse Now,Francis Ford Coppola,Drama | War,1979-05-19,147.0,en,8.264,9254.0,22.6166,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory."
1892,ok,Return of the Jedi,Return of the Jedi,Richard Marquand,Adventure | Action | Science Fiction,1983-05-25,132.0,en,7.911,17145.0,17.8717,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, the Emperor prepares to crush the Rebellion with a more powerful Death Star, and the Rebel fleet mounts a massive attack on the space station. Luke Skywalker confronts Darth Vader in a final climactic duel before the evil Emperor."
769,ok,GoodFellas,GoodFellas,Martin Scorsese,Drama | Crime,1990-09-12,145.0,en,8.45,14603.0,27.1139,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway."
348,ok,Alien,Alien,Ridley Scott,Horror | Science Fiction,1979-05-25,117.0,en,8.172,16652.0,26.8276,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed."
539,ok,Psycho,Psycho,Alfred Hitchcock,Horror | Thriller | Mystery,1960-06-22,109.0,en,8.409,11148.0,22.6046,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother."
525,ok,The Blues Brothers,The Blues Brothers,John Landis,Music | Comedy | Crime,1980-06-16,133.0,en,7.715,4620.0,10.6549,"Jake Blues, just released from prison, puts his old band back together to save the Catholic home where he and his brother Elwood were raised."
600,ok,Full Metal Jacket,Full Metal Jacket,Stanley Kubrick,Drama | War,1987-06-26,117.0,en,8.118,11635.0,16.5939,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
10705,ok,Henry V,Henry V,Kenneth Branagh,War | Drama | History,1989-10-05,137.0,en,7.1,416.0,3.7843,"In 1415, in the midst of the Hundred Years' War, the young King Henry V of England embarks on the conquest of France."
3109,ok,The Quiet Man,The Quiet Man,John Ford,Romance | Comedy | Drama,1952-07-21,129.0,en,7.319,622.0,4.8293,"An American man returns to the village of his birth in Ireland, where he finds love and conflict."
